"a aquele", "para isso"
"felicidade", "emoções experimentadas quando em um estado de bem-estar"
"felicitação", "o ato de reconhecer que alguém tem uma ocasião para comemorar"
"felicitar", "Expresse parabéns"
"felinar", "gatos; Wildcats; leões; leopardos; Cheetahs; Tigres de dentes de sabre"
"felino", "gatos; Wildcats; leões; leopardos; Cheetahs; Tigres de dentes de sabre"
"Felipe", "Inglês e marido de Elizabeth II (nascido em 1921)"
"felipe", "Inglês e marido de Elizabeth II (nascido em 1921)"
"feliz", "alegre e brilhante"
"felizmente", "por boa sorte"
"feltrar", "um tecido feito de fibras de animais emaranhado comprimido"
"Fêmea", "Um animal que produz gametas (OVA) que pode ser fertilizado por gametas masculinos (espermatozóides)"
"feminino", "adequado ou característico de uma mulher, especialmente uma mulher madura"
"feminino", "associado a mulheres e não a homens"
"feminismo", "o movimento destinado a direitos iguais para as mulheres"
"fêmur", "o osso mais longo e espesso do esqueleto humano; se estende da pélvis ao joelho"
"fendar", "uma longa abertura estreita"
"feníciar", "Um país marítimo antigo (uma coleção de estados da cidade) no extremo leste do Mediterrâneo"
"Fenício", "de ou relacionado ou característica da fenícia ou seus habitantes"
"feno", "grama cortada e curada para uso como forragem"
"fenomenal", "extremamente ou inacreditavelmente ótimo"
"fenômeno", "qualquer estado ou processo conhecido através dos sentidos, e não por intuição ou raciocínio"
"fenomenologia", "Uma doutrina filosófica proposta por Edmund Husserl com base no estudo da experiência humana na qual considerações de realidade objetiva não são levadas em consideração"
"fenótipo", "Como é um organismo como conseqüência da interação de seu genótipo e do meio ambiente"
"fer", "Lazer tempo longe do trabalho dedicado ao descanso ou prazer"
"fera", "uma pessoa cruelmente voraz"
"féretrar", "caixa em que um cadáver está enterrado ou cremado"
"féria", "tempo que está livre de tarefas ou responsabilidades"
"feriado", "Um dia reservado para descansar"
"ferimento", "o ato de infligir uma ferida"
"ferimento", "um acidente que resulta em danos físicos ou mágoa"
"fério", "Lazer tempo longe do trabalho dedicado ao descanso ou prazer"
"ferir", "dar problemas ou dor a"
"ferir", "prejudicado"
"ferir", "uma vítima para o pessoal militar resultante de combate"
"fermentação", "um processo no qual um agente faz com que uma substância orgânica se divida em substâncias mais simples; Especialmente, a quebra anaeróbica do açúcar em álcool"
"fermentar", "Sente-se ou deixe sentar em água fervente para extrair o sabor"
"fermentar", "Tendo um sabor nítido"
"fermento", "qualquer um dos vários fungos unicelulares que se reproduzem assexuadamente por brotamento ou divisão"
"feroz", "Marcado por extrema raiva"
"ferozmente", "de uma maneira fisicamente feroz"
"ferr", "uma verbalização que o encoraja a tentar algo"
"ferradura", "Placa em forma de U pregada na parte inferior do casco de cavalo"
"ferramenta", "uma caixa ou peito ou armário para segurar ferramentas manuais"
"ferramentar", "Como um resultado é obtido ou um fim é alcançado"
"ferrar", "tendo ossos conforme especificado"
"ferrarar", "Uma cidade no norte da Itália"
"ferrario", "o local de trabalho onde o ferro é fundido ou onde os bens de ferro são feitos"
"ferreiro", "um ferreiro que forja e molda o ferro com um martelo e bigor"
"férreo", "extremamente robusto"
"ferro", "extremamente robusto"
"ferro", "uma algema para os tornozelos ou pés"
"ferrolho", "Um bloco de metal em armas de fogo de carregamento de culatra que é retirado para inserir um cartucho e substituído para fechar a culatra antes de disparar"
"ferroso", "de ou se relacionar ou contendo ferro"
"ferrover", "Uma linha de pista que fornece uma pista para rodas"
"ferrugem", "A formação de óxidos férrios marrom-avermelhados em ferro por oxidação de baixa temperatura na presença de água"
"fértil", "capaz de reproduzir"
"fertilização", "tornando fértil como aplicando fertilizantes ou estrume"
"fertilizar", "Introduzir sêmen em (uma mulher)"
"fervente", "marcado por interesse ativo e entusiasmo"
"ferver", "Cozinhe até ficar muito pouco líquido"
"fervor", "sentimentos de grande calor e intensidade"
"fervoroso", "marcado por interesse ativo e entusiasmo"
"fervuro", "A aplicação do calor para mudar algo de um líquido para um gás"
"festa", "qualquer diversão alegre"
"festejar", "se comportar como esperado durante as férias ou ritos"
"festim", "um cartucho contendo uma carga explosiva, mas sem bala"
"festival", "uma série organizada de atos e performances (geralmente em um só lugar)"
"festivo", "oferecendo diversão e alegria"
"fetal", "de ou relacionado a um feto"
"féter", "ofensivamente malodoroso"
"feticher", "excitação ou gratificação sexual resultante do manuseio de um fetiche (ou uma parte específica do corpo que não seja os órgãos sexuais)"
"feto", "um vertebrado ainda não nascido ou despachado nos estágios posteriores do desenvolvimento, mostrando as principais características reconhecíveis do animal maduro"
"feudal", "devido à lealdade feudal ou estar sujeito a um soberano"
"feudalismo", "o sistema social que se desenvolveu na Europa no século VIII; Os vassalos foram protegidos por senhores que eles tiveram que servir em guerra"
"feudo", "o território reivindicado por uma gangue juvenil como sua"
"fevereiro", "o mês seguinte em janeiro e março anterior"
"fez", "Materia de resíduos (como urina ou suor, mas especialmente fezes) descarregada do corpo"
"fianço", "dinheiro extraído como uma penalidade"
"fiar", "Trabalhe fibras naturais em um tópico"
"fiasco", "um erro embaraçoso"
"fibra", "Um material semelhante a couro feito por camadas de papel ou pano"
"fibrar", "Um material semelhante a couro feito por camadas de papel ou pano"
"fibroma", "Tumor não maligno de tecido conjuntivo"
"fibroso", "ter ou parecer fibras, especialmente as fibras usadas na fabricação de cordas, como as da juta"
"ficar", "Fique o mesmo; permanecer em um determinado estado"
"ficção", "um trabalho literário baseado na imaginação e não necessariamente no fato"
"ficha", "Um pequeno contador em forma de disco usado para representar dinheiro ao jogar"
"Fichário", "um conjunto de registros relacionados (escritos ou eletrônicos) mantidos juntos"
"fictício", "adotado para enganar"
"Fidedigno", "digno de confiança ou confiança"
"fidelidade", "precisão com a qual um sistema eletrônico reproduz o som ou a imagem de seu sinal de entrada"
"fiduciário", "Uma pessoa que detém ativos em confiança para um beneficiário"
"fiel", "marcado pela fidelidade a um original"
"fielmente", "de maneira fiel"
"fígar", "Órgão glandular marrom-avermelhado grande e complicado localizado na parte superior direita da cavidade abdominal; secreta bile e funções no metabolismo de proteínas e carboidratos e gordura; sintetiza substâncias envolvidas na coagulação do sangue; sintetiza a vitamina A; desintoxica substâncias venenosas e quebra eritrócitos desgastados"
"figar", "Uma bugiganga ou peça de jóia geralmente pendurada no pescoço e achada ser uma proteção mágica contra o mal ou a doença"
"figo", "frutas múltiplas de múltiplas frutas amareladas ou roxas em forma de pêra doce em forma de pêra carnudas comidas ou preservadas ou secas"
"figueira", "um diagrama ou imagem ilustrando material textual"
"figur", "uma pessoa influente importante"
"figurar", "criar uma imagem ou semelhança de"
"figurar", "um conjunto predeterminado de movimentos na dança ou patinação"
"figurativo", "(usado dos significados de palavras ou texto) não literal; usando figuras de fala"
"figurinhar", "Uma das doze cartas em um deck com uma foto de um rosto"
"Figurino", "um homem que está muito preocupado com seu vestido e aparência"
"fila", "uma formação de pessoas ou coisas um atrás do outro"
"filamentar", "uma fibra natural ou sintética muito esbelta"
"filantropia", "Promoção voluntária do bem-estar humano"
"filantrópico", "de ou relacionado ou caracterizado por filantropia"
"filantropo", "alguém que faz doações de caridade destinadas a aumentar o bem-estar humano"
"filão", "Um depósito de minério valioso ocorrendo dentro de limites definidos que o separam das rochas circundantes"
"filateliar", "A coleção e estudo de selos postais"
"filatelista", "um colecionador e estudante de selos postais"
"filé", "uma fatia longitudinal ou um lado desossado de um peixe"
"fileira", "um arranjo de objetos ou pessoas lado a lado em uma linha"
"filha", "uma prole humana (filho ou filha) de qualquer idade"
"filho", "um filho do sexo masculino (um termo familiar de endereço para um menino)"
"filho", "um filho do sexo masculino (um termo familiar de endereço para um menino)"
"filiação", "o ato de se tornar formalmente conectado ou unido"
"filial", "relacionado a ou característica de ou adequado a uma prole"
"filiar", "sendo unido em estreita associação"
"filigrano", "ornamentação delicada e complexa (geralmente em ouro ou prata ou outro fio torcido fino)"
"filipina", "Um arquipélago no sudoeste do Pacífico, incluindo cerca de 7000 ilhas"
"Filipinas", "Um arquipélago no sudoeste do Pacífico, incluindo cerca de 7000 ilhas"
"filipino", "um nativo ou habitante das Filipinas"
"filmar", "Faça um filme ou fotografia de algo"
"filme", "um revestimento ou camada fina"
"filme", "uma forma de entretenimento que aprova uma história por som e uma sequência de imagens que dão a ilusão de movimento contínuo"
"filo", "(Biologia) o principal grupo taxonômico de animais e plantas; contém classes"
"filogenio", "(Biologia) A sequência de eventos envolvidos no desenvolvimento evolutivo de uma espécie ou grupo taxonômico de organismos"
"filologia", "o estudo humanista da linguagem e da literatura"
"filólogo", "um humanista especializado em bolsa de estudos clássica"
"filosofar", "razão filosoficamente"
"filosofia", "Uma crença (ou sistema de crenças) aceita como autoritária por algum grupo ou escola"
"filosófico", "caracterizado pela atitude de um filósofo; encontrando problemas com o destacamento equilibrado"
"filósofo", "um especialista em filosofia"
"filósofo", "uma pessoa sábia que é calma e racional; alguém que vive uma vida de razão com equanimidade"
"filtrar", "Remova passando por um filtro"
"filtro", "dispositivo que remove algo de qualquer coisa que passa por ele"
"filtro", "um filtro para reter pedaços maiores enquanto pedaços e líquidos menores passam"
"fim", "o objetivo destinado a ser atingido (e que se acredita ser atingível)"
"final", "ocorrendo ou formando um fim ou terminação"
"finalidade", "Um resultado previsto que se destina ou que orienta suas ações planejadas"
"finalista", "um concorrente que atinge os estágios finais de uma competição"
"finalização", "uma ação final"
"finalizar", "(de materiais ou bens) trazidos para o estado final desejado"
"finalizar", "causa para terminar um relacionamento com alguém"
"finalmente", "como resultado final de uma sucessão ou processo"
"finança", "a atividade comercial de fornecer fundos e capital"
"Finanças", "ativos na forma de dinheiro"
"financeiramente", "Do ponto de vista financeiro"
"financeiro", "envolvendo questões financeiras"
"financiamento", "o ato de financiamento"
"financiar", "obter ou fornecer dinheiro para"
"fincar", "bater com ou como se com um martelo"
"fineza", "a qualidade de ser difícil de detectar ou analisar"
"fingimento", "uma pretensão deliberada ou exibição exagerada"
"fingir", "faça de conta com a intenção de enganar"
"fingir", "não genuíno"
"finito", "limitado ou limitado em magnitude ou extensão espacial ou temporal"
"finja", "a promulgação de uma pretensão"
"Finlandês", "de ou relacionado a ou característica da Finlândia ou ao povo da Finlândia"
"finlandesa", "um nativo ou habitante da Finlândia"
"finlandese", "um nativo ou habitante da Finlândia"
"Finlândia", "República no norte da Europa; alcançou a independência da Rússia em 1917"
"finlândiar", "República no norte da Europa; alcançou a independência da Rússia em 1917"
"fino", "muito fino, especialmente de doenças ou fome ou frio"
"finto", "qualquer manobra distraída ou enganosa (como um ataque simulado)"
"finura", "uma tendência a expressar um sentimento caloroso e afetuoso"
"fio", "algo (como um cordão ou corda) que é longo, fino e flexível"
"fiorde", "uma longa entrada estreita do mar entre falésias íngremes; comum na Noruega"
"fiorde", "uma longa entrada estreita do mar entre falésias íngremes; comum na Noruega"
"firma", "uma habitação que serve como alojamento para uma ou mais famílias"
"firmamento", "A aparente superfície da esfera imaginária em que os corpos celestes parecem estar projetados"
"firmar", "Torne-se estável ou mais estável"
"firme", "fixado com segurança no lugar"
"firmemente", "a uma taxa ou ritmo constante"
"firmeza", "a qualidade de ser estável ou de forma segura e imóvel"
"fiscal", "envolvendo questões financeiras"
"fiscalizar", "venha ver em uma capacidade oficial ou profissional"
"fisga", "um brinquedo que consiste em um graveto em forma de Y com elástico entre os braços; usado para impulsionar pequenas pedras"
"fisicamente", "de acordo com as leis físicas"
"físico", "a ciência da matéria e energia e suas interações"
"físico", "tendo substância ou existência material; perceptível aos sentidos"
"físico", "Um cientista treinado em física"
"fisiografia", "o estudo das características físicas da superfície da Terra"
"fisiologia", "processos e funções de um organismo"
"fisiológico", "ou consistente com o funcionamento normal de um organismo"
'"fisionomia", "O rosto humano (`beijador ''e` smiler'' e `caneca ''são termos informais para` face'' e ''phiz'' é britânico)"'
"fisioterapia", "Terapia que usa agentes físicos: exercício e massagem e outras modalidades"
"fissão", "Uma reação nuclear na qual um núcleo maciço se divide em núcleos menores com a liberação simultânea de energia"
"fissura", "(Anatomia) Uma longa fenda ou ranhura estreita que divide um órgão em lobos"
"fito", "noção que consiste em uma faixa estreita de material fino usado para aparar"
"fivelo", "Prendedor que prenda duas extremidades de um cinto ou correia; Muitas vezes tem ponta solta"
"fixação", "o ato de fixar as coisas juntas"
"fixar", "causa para ser firmemente ligado"
"fixar", "colocado com segurança ou fixado ou definido"
"fixar", "colocado com segurança ou fixado ou definido"
"fixo", "colocado com segurança ou fixado ou definido"
"fixo", "incapaz de ser alterado ou movido ou desfeito; por exemplo"
"flácer", "fora de condição; não forte ou robusto; incapaz de esforço ou resistência"
"flagelação", "batendo com um chicote, alça ou corda como uma forma de punição"
"flagelar", "chicote"
"flagelar", "um protozoário de vida livre geralmente não fotoossintético com apêndices de chicote; Alguns são patógenos de humanos e outros animais"
"flagelo", "Um apêndice semelhante a um cílio usado para locomoção (por exemplo, em células espermáticas e algumas bactérias e protozoários)"
"flamejante", "muito empolgado (especialmente sexualmente) ou indicando emoção;- Bram Stoker"
"flamejar", "erupção ou intensificar de repente"
"flamengo", "de ou relacionado a Flandres ou seu povo ou idioma ou cultura"
"flamingo", "Birding rosa a rosa a escarlate Wading Wading com uma conta inativa; habita lagos salobros"
"flamingo", "Birding rosa a rosa a escarlate Wading Wading com uma conta inativa; habita lagos salobros"
"flanco", "uma subfigura que consiste em um lado de algo"
"Flandres", "Um país medieval no norte da Europa que incluía regiões agora partes do norte da França e da Bélgica e do sudoeste da Holanda"
"flanela", "um tecido de lã leve e leve; usado para roupas"
"flatulência", "um reflexo que expulsa o gás intestinal através do ânus"
"flautar", "um instrumento de sopro de madeira aguda; Um tubo esbelto fechou em uma extremidade com orifícios de dedos em uma extremidade e uma abertura perto da extremidade fechada do outro lado da qual a respiração é soprada"
"flautista", "alguém que toca flauta"
"flautisto", "alguém que toca flauta"
"Flavo", "Ser ou ter pele e cabelo de cor clara e geralmente olhos azuis ou cinza"
"flechar", "um projétil com um eixo fino reto e uma ponta de flecha em uma extremidade e palhetas estabilizadas no outro; destinado a ser baleado de um arco"
"fleumático", "mostrando pouca emoção"
"flexão", "Um exercício de braço se apresentou deitado deitado no chão e empurrando o corpo para cima e para baixo com os braços"
"flexibilidade", "a qualidade de ser adaptável ou variável"
"flexionar", "Mude a forma de uma palavra de acordo, conforme exigido pelas regras gramaticais da linguagem"
"flexível", "dobrar e recuar rapidamente sem quebrar"
"flor", "órgão reprodutivo de plantas angiospermas, especialmente uma com peças vistosas ou coloridas"
"flor", "órgão reprodutivo de plantas angiospermas, especialmente uma com peças vistosas ou coloridas"
"flora", "(botânica) um organismo vivo sem o poder da locomoção"
"floração", "órgão reprodutivo de plantas angiospermas, especialmente uma com peças vistosas ou coloridas"
"florar", "órgão reprodutivo de plantas angiospermas, especialmente uma com peças vistosas ou coloridas"
"florença", "uma cidade no centro da Itália no Arno; capital provincial da Toscana; centro do renascimento italiano dos séculos 14 a 16"
"florer", "de ou relacionado a ou sugestivo de flores"
"florer", "um estado no sudeste dos Estados Unidos entre o Atlântico e o Golfo do México; Um dos estados confederados durante a Guerra Civil Americana"
"floresça", "um gesto vistoso"
"florescer", "desenvolver ou chegar a um estágio promissor"
"floresta", "as árvores e outras plantas em uma grande área densamente arborizada"
"floresta", "as árvores e outras plantas em uma grande área densamente arborizada"
"floricultura", "o cultivo de plantas com flores"
"florilégio", "Uma coleção de passagens literárias selecionadas"
"Florim", "anteriormente a unidade básica de dinheiro na Holanda; igual a 100 centavos"
"florir", "produzir ou produzir flores"
"florista", "uma loja onde flores e plantas ornamentais são vendidas"
"fluência", "habilidade em falar ou escrever"
"fluente", "suave e sem restrições em movimento"
"fluido", "suave e sem restrições em movimento"
"fluir", "mover ou progredir livremente como se estivesse em um fluxo"
"fluorescência", "a luz emitida durante a absorção da radiação de algum outro comprimento de onda (invisível)"
"fluoreto", "um sal de ácido hidrofluórico"
"flutuação", "a qualidade de ser instável e sujeita a mudanças"
"flutuante", "carregado na água; flutuante"
"flutuar", "Seja instável"
"fluvial", "de ou se relacionar ou acontecer em um rio"
"fluxo", "(física) O número de mudanças no fluxo de energia em uma determinada superfície por unidade de área"
"fluxo", "qualquer fluxo ou descarga ininterrupto"
"fober", "Um transtorno de ansiedade caracterizado por medo extremo e irracional de coisas simples ou situações sociais"
"foca", "qualquer um dos numerosos mamíferos marinhos que vêm em terra para se reproduzir; Principalmente de regiões frias"
"focalização", "o ato de colocar em foco"
"focalizar", "Fique focado ou entre em foco"
"focar", "dedicar (a si mesmo) totalmente a"
"focinheiro", "Uma restrição de couro ou arame que se encaixa sobre o focinho de um animal (especialmente o nariz e as mandíbulas de um cachorro) e impede que ele coma ou morda"
"focinho", "um longo alongamento projetado ou anterior da cabeça de um animal; especialmente o nariz"
"focinho", "uma frente que se assemelha a um nariz humano (especialmente na frente de uma aeronave)"
"foco", "Clareza máxima ou distinção de uma imagem renderizada por um sistema óptico"
"fofa", "como para baixo ou tão macio quanto para baixo"
"fofo", "fora de condição; não forte ou robusto; incapaz de esforço ou resistência"
"fofoca", "Conversação informal leve para ocasiões sociais"
"fofocar", "Seja intrometido"
"fogão", "Qualquer aparelho de aquecimento"
"Fogão", "um forno (como em uma locomotiva a vapor) em que o combustível é queimado"
"fogo", "uma lareira em que um incêndio relativamente pequeno está queimando"
"fogueiro", "um grande incêndio ao ar livre que é iluminado como um sinal ou em comemoração"
"foguete", "(geralmente plural) um dispositivo com um explosivo que queima a uma taxa baixa e com chamas coloridas; pode ser usado para iluminar áreas ou enviar sinais etc."
"foguete", "Qualquer veículo autopropulsionado por um motor de foguete"
"foice", "uma ferramenta de borda para cortar grama; tem uma alça longa que deve ser mantida com as duas mãos e uma lâmina curva que se move paralelamente ao solo"
"folclorer", "A tradição não escrita (histórias e provérbios, enigmas e canções) de uma cultura"
"fole", "um dispositivo mecânico que sopra uma forte corrente de ar; usado para fazer um fogo queimar mais feroz ou soar um instrumento musical"
"fôlego", "o ar que é inalado e exalado em respiração"
"folgar", "a primeira luz do dia"
"folgar", "não se encaixar de perto; pendurado vagamente"
"Folha", "folha de metal formada em uma placa fina"
"folha", "papel usado para escrever ou imprimir"
"folhagem", "o principal órgão da fotossíntese e transpiração em plantas superiores"
"folhear", "produzir folhas, de plantas"
"folhear", "revestimento consistindo em uma fina camada de madeira superior colada a uma base de madeira inferior"
"folheto", "um pequeno livro geralmente tendo uma capa de papel"
"fome", "estar com fome; Vá sem comida"
"fomentar", "tente despertar a opinião pública"
"fone", "Um dispositivo acústico cônico usado anteriormente para direcionar o som para a orelha de uma pessoa com deficiência auditiva"
"fonema", "(fonética) Uma unidade de fala individual sem preocupação se é ou não um fonema de algum idioma"
"fonético", "de ou relacionado ao estudo científico dos sons de fala"
"fonético", "O ramo da acústica preocupada com os processos de fala, incluindo sua produção e percepção e análise acústica"
"fonógrafo", "máquina na qual os registros rotativos fazem com que uma caneta vibre e as vibrações sejam amplificadas acusticamente ou eletronicamente"
"fonologia", "O estudo do sistema de som de um determinado idioma e a análise e classificação de seus fonemas"
"fonte", "um acessório de encanamento que fornece um fluxo de água"
"fonte", "uma estrutura da qual surge um jato de água produzido artificialmente"
"fora", "fazendo um ponto adicional; de qualquer forma"
"forasteiro", "alguém que é excluído ou não é membro de um grupo"
"forca", "o ato de aplicar força para impulsionar algo"
"força", "um ato de agressão (como um contra uma pessoa que resiste)"
"forçadamente", "de maneira forçada"
"forçar", "falta de espontaneidade; não é natural"
"forçar", "fazer à força; exercer força"
"forçoso", "exigido por regra"
"forense", "usado ou aplicado na investigação e estabelecimento de fatos ou evidências em um tribunal"
"forja", "um local de trabalho onde o metal é trabalhado por aquecimento e martelamento"
"forjar", "formar metais com um swage"
"forjar", "reproduzido fraudulentamente"
"forma", "o arranjo espacial de algo tão distinto de sua substância"
"formação", "as atividades de educar ou instruir; atividades que transmitem conhecimento ou habilidade"
"formal", "estar de acordo com as formas e convenções estabelecidas e requisitos (como por exemplo, de vestido formal)"
"formalidade", "conformidade com regras formais"
"formalismo", "a prática de adesão escrupulosa a formulários prescritos ou externos"
"formalizar", "tendo se tornado fixo e definido na forma"
"formalizar", "tornar formal ou oficial"
"formalmente", "de maneira formal"
"formão", "Uma ferramenta de borda com uma lâmina de aço plana com uma aresta de corte"
"formar", "dar forma ou forma a"
"formatação", "a organização da informação de acordo com as especificações predefinidas (geralmente para processamento de computador)"
"formatar", "Determine o arranjo de (dados) para armazenamento e exibição (em ciência da computação)"
"formato", "o arranjo espacial de algo tão distinto de sua substância"
"formatura", "um exercício acadêmico no qual os diplomas são conferidos"
"formidável", "extremamente impressionante em força ou excelência"
"formiga", "inseto social que vive em colônias organizadas; Caracteristicamente, os machos e a rainha fértil têm asas durante a estação de reprodução; fêmeas estéreis sem asas são os trabalhadores"
"formiga", "inseto social que vive em colônias organizadas; Caracteristicamente, os machos e a rainha fértil têm asas durante a estação de reprodução; fêmeas estéreis sem asas são os trabalhadores"
"formigão", "um forte material de construção duro composto de areia e cascalho, cimento e água"
"formigar", "em um estado de dormir"
"formigar", "estar repleto, esteja cheio"
"formigueiro", "extremamente impressionante em força ou excelência"
"formoso", "deliciando os sentidos ou a emocionante admiração intelectual ou emocional"
"formoso", "Uma ilha no sudeste da Ásia a 160 quilômetros da costa da China continental no Mar da China Meridional"
"fórmula", "um grupo de símbolos que fazem uma declaração matemática"
"formulação", "inventando ou inventando uma ideia ou explicação e formulando-a mentalmente"
"formular", "elaborado, desde teorias e hipóteses"
"formulário", "um documento impresso com espaços para escrever"
"fornalha", "um forno (como em uma locomotiva a vapor) em que o combustível é queimado"
"fornalha", "Uma câmara fechada na qual o calor é produzido para aquecer edifícios, destruir lixo, cheirar ou refinar minérios, etc."
"fornar", "alimentos (como pães e bolos e doces) que são cozidos em um forno"
"fornecedor", "alguém que promove ou troca bens ou serviços por dinheiro"
"fornecer", "Dê o que é desejado ou necessário, especialmente apoio, comida ou sustento"
"fornecer", "Fornecido com o que for necessário para um propósito (como móveis, equipamentos ou autoridade)"
"fornecimento", "a atividade de fornecer ou fornecer algo"
"fornicação", "sexo extraconjugal que interfere intencionalmente e maliciosamente nas relações matrimoniais"
"forno", "Aparelado de cozinha usado para assar ou assar"
"forno", "Uma câmara fechada na qual o calor é produzido para aquecer edifícios, destruir lixo, cheirar ou refinar minérios, etc."
"foro", "uma instalação pública para se reunir para discussão aberta"
"forquilha", "Um alfinete de dupla ponta usado para manter os cabelos femininos no lugar"
"forro", "algo que se assemelha a uma tapeçaria em seus complexos designs pictóricos"
"fortalecer", "tornar forte ou mais forte"
"fortaleza", "Estrutura defensiva que consiste em paredes ou montes construídos em torno de uma fortaleza para fortalecê-la"
"fortalezar", "Estrutura defensiva que consiste em paredes ou montes construídos em torno de uma fortaleza para fortalecê-la"
"forte", "extremamente nítido ou intenso"
"fortemente", "com força ou de maneira forte"
"fortificação", "A adição de um ingrediente para fins de enriquecimento (como a adição de álcool ao vinho ou a adição de vitaminas à comida)"
"fortificar", "garantido com bastiões ou fortificações"
"fortificar", "tornar forte ou mais forte"
"fortuito", "Ocorrendo por Happy Chance"
"fortuna", "(Mitologia romana) A deusa da fortuna e boa sorte; contraparte de tyche grego"
"Fórum", "uma instalação pública para se reunir para discussão aberta"
"fosfato", "um sal de ácido fosfórico"
"fosfato", "um sal de ácido fosfórico"
"fósforar", "mais leve, composto por um pedaço fino de madeira ou papelão com chapas com produtos químicos combustíveis; acende com atrito"
"fosforescênciar", "Uma fluorescência que persiste após a radiação bombardeada cessou"
"fosforescente", "emitindo luz sem calor apreciável como a oxidação lenta de fósforo"
"fossa", "Maior Carnívoro de Madagascar; intermediário em alguns aspectos entre gatos e civets"
"fossar", "vala cavou como uma fortificação e geralmente cheia de água"
"fóssil", "os restos (ou uma impressão) de uma planta ou animal que existia em uma era geológica passada e que foi escavada do solo"
"fóssil", "os restos (ou uma impressão) de uma planta ou animal que existia em uma era geológica passada e que foi escavada do solo"
"foto", "uma representação de uma pessoa ou cena na forma de um slide impressa ou transparente; gravado por uma câmera em material sensível à luz"
"fotocópia", "Uma cópia fotográfica de trabalho escrito ou impresso ou gráfico"
"fotogênico", "parecendo atraente nas fotografias"
"fotógrafar", "alguém que tira fotografias profissionalmente"
"fotografar", "Grava no filme fotográfico"
"fotografia", "A ocupação de tirar e imprimir fotografias ou fazer filmes"
"fotográfico", "relacionado à fotografia ou obtido usando fotografia"
"fotógrafo", "alguém que tira fotografias profissionalmente"
"fotômetro", "Medição do instrumento para medir a intensidade luminosa de uma fonte comparando-a (visual ou fotoeletricamente) com uma fonte padrão"
"fotoquímico", "ramo da química que lida com a ação química da luz"
"fotosfera", "a superfície intensamente luminosa de uma estrela (especialmente o sol)"
"fototropismo", "uma resposta orientadora à luz"
"Foz", "o ponto em que um riacho emite em um corpo maior de água"
'"fracamente", "(`doente ''é frequentemente usado como uma forma combinada) de maneira pobre, imprópria ou insatisfatória; não está bem"'
"fração", "uma pequena parte ou item formando um pedaço de um todo"
"fracassar", "não conseguir realizar um resultado pretendido"
"fracassar", "não seja bem-sucedido"
"fracasso", "um ato que falha"
"fracionário", "constituindo ou compreendendo uma parte ou fração de um possível todo"
"fraco", "falta de força ou vitalidade corporal ou muscular"
"fraco", "falta de força"
"fractal", "(Matemática) Um padrão geométrico que é repetido em todas as escalas e, portanto, não pode ser representado pela geometria clássica"
"frade", "um homem que é um membro (de uma fraternidade, religião ou outro grupo)"
"fragata", "Um navio de guerra dos Estados Unidos maior que um destruidor e menor que um cruzador"
"fragata", "Um navio de guerra dos Estados Unidos maior que um destruidor e menor que um cruzador"
"frágil", "vulneravelmente delicado"
"fragilidade", "qualidade de ser facilmente danificado ou destruído"
"fragmentação", "separando algo em partículas finas"
"fragmentar", "quebrar ou fazer quebrar em pedaços"
"fragmentário", "consistindo em pequenas peças desconectadas"
"fragmento", "um pedaço quebrado de um artefato quebradiço"
"fragrância", "um odor distinto que é agradável"
"fralda", "A roupa que consiste em um pano dobrado puxado entre as pernas e preso na cintura; usado por bebês para capturar excrementos"
"framboesa", "grande variedade vermelha do Dewberry"
"França", "uma república na Europa Ocidental; o maior país totalmente da Europa"
"França", "uma república na Europa Ocidental; o maior país totalmente da Europa"
"francamente", "completo"
"francês", "de ou pertencente à França ou ao povo da França"
"francês", "o povo da França"
"franciscano", "um frade católico romano vestindo o hábito cinzento da ordem franciscana"
"Franco", "de ou relacionado aos francos"
"franco", "um membro dos antigos povos germânicos que se espalharam do Reno para o Império Romano no século IVI"
"frango", "uma ave doméstica criada para carne ou ovos; Acredita-se que tenha sido desenvolvido a partir das aves vermelhas da selva"
"franguinhr", "Pássaro jovem especialmente de aves domésticas"
"franja", "uma borda de cabelo que é cortada e pendurada na testa"
"franquear", "Pague por algo antes de recebê-lo"
"franquear", "Tendo a postagem paga pelo remetente"
"franqueza", "a característica de ser franco e franco"
"franquir", "uma autorização para vender os bens ou serviços de uma empresa em um determinado local"
"Franzino", "sendo de construção delicada ou esbelta"
"franzir", "reunir ou contratar rugas ou dobras; Pucker"
"fraque", "roupas formais que consistem em vestido de noite completo para homens"
"fraqueza", "impotência revelada por uma incapacidade de agir"
"frar", "um religioso masculino vivendo em um claustro e se dedicando à contemplação, oração e trabalho"
"frasco", "um navio de vidro ou plástico usado para armazenar bebidas ou outros líquidos; normalmente cilíndricos sem alças e com um pescoço estreito que pode ser conectado ou tapado"
"frase", "Uma série de palavras que satisfazem as regras gramaticais de uma linguagem"
"fraseologia", "a maneira pela qual algo é expresso em palavras"
"frasqueira", "um pequeno pedaço de bagagem para transportar pincéis e garrafas e artigos de banheiro enquanto viaja"
"fraternidade", "o sentimento de que os homens deveriam tratar uns aos outros como irmãos"
"fraternização", "associando-se a outras pessoas de uma maneira fraterna ou amigável; especialmente com um inimigo"
"fraterno", "como ou característica de ou adequado a um irmão"
"fratricídio", "O assassinato de seu irmão"
"fraturar", "o ato de quebrar algo"
"fraudar", "privar de engano"
